mode,rep,client,server,stream_idx,gbps
per-pair,2,srv03,st05,3,13.335011951887916
per-pair,2,srv03,st05,4,13.811936459341027
per-pair,2,srv03,st05,5,12.702505897069422
per-pair,2,srv03,st05,6,13.329463269912234
per-pair,2,srv03,st05,7,13.652204323096194
per-pair,2,srv03,st05,8,12.285612011935896
per-pair,3,srv03,st05,1,12.81136189888044
per-pair,3,srv03,st05,2,12.347326804610022
per-pair,3,srv03,st05,3,17.259213206394392
per-pair,3,srv03,st05,4,14.239686473015507
per-pair,3,srv03,st05,5,12.936447340448673
per-pair,3,srv03,st05,6,12.53148158498379
per-pair,3,srv03,st05,7,12.602434696093399
per-pair,3,srv03,st05,8,13.00040999726177
per-pair,1,srv03,st06,1,13.087545569580339
per-pair,1,srv03,st06,2,14.782538126542772
per-pair,1,srv03,st06,3,15.919931355549892
per-pair,1,srv03,st06,4,15.732151286320116
per-pair,1,srv03,st06,5,14.588693870805528
per-pair,1,srv03,st06,6,15.177723859953003
per-pair,1,srv03,st06,7,12.92427564898665
per-pair,1,srv03,st06,8,13.82660737765174
per-pair,2,srv03,st06,1,13.20655125131665
per-pair,2,srv03,st06,2,13.947666148451354
per-pair,2,srv03,st06,3,14.118013786482846
per-pair,2,srv03,st06,4,14.203209450540658
per-pair,2,srv03,st06,5,12.988319281076253
per-pair,2,srv03,st06,6,13.347364392474768
per-pair,2,srv03,st06,7,13.63709955440594
per-pair,2,srv03,st06,8,14.106566984440208
per-pair,3,srv03,st06,1,12.343050245646939
per-pair,3,srv03,st06,2,13.170146546008485
per-pair,3,srv03,st06,3,13.300714254720676
per-pair,3,srv03,st06,4,12.608685738024425
per-pair,3,srv03,st06,5,12.980837567641437
per-pair,3,srv03,st06,6,12.335317107135293
per-pair,3,srv03,st06,7,15.344818689608719
per-pair,3,srv03,st06,8,15.247258812227315
per-pair,1,srv03,st07,1,13.818769869660349
per-pair,1,srv03,st07,2,13.65277252596141
per-pair,1,srv03,st07,3,12.798100725824904
per-pair,1,srv03,st07,4,12.94909478273482
per-pair,1,srv03,st07,5,12.870714187220818
per-pair,1,srv03,st07,6,13.770212348002456
per-pair,1,srv03,st07,7,15.076162392879276
per-pair,1,srv03,st07,8,12.9533764429134
per-pair,2,srv03,st07,1,15.879117496999136
per-pair,2,srv03,st07,2,12.56572228122021
per-pair,2,srv03,st07,3,12.419770783590632
per-pair,2,srv03,st07,4,12.78152567803262
per-pair,2,srv03,st07,5,14.519434638312035
per-pair,2,srv03,st07,6,15.70728392213919
per-pair,2,srv03,st07,7,13.430893189637853
per-pair,2,srv03,st07,8,12.970311052293956
per-pair,3,srv03,st07,1,14.19793040417474
per-pair,3,srv03,st07,2,13.127173260122493
per-pair,3,srv03,st07,3,14.275336166869263
per-pair,3,srv03,st07,4,14.742090687721776
per-pair,3,srv03,st07,5,14.680706087289531
per-pair,3,srv03,st07,6,15.625854173517794
per-pair,3,srv03,st07,7,13.676401596089558
per-pair,3,srv03,st07,8,13.863220493917508
per-pair,1,srv03,st08,1,13.087215937400568
per-pair,1,srv03,st08,2,13.966015751023056
per-pair,1,srv03,st08,3,14.434985106282163
per-pair,1,srv03,st08,4,13.629427348478231
per-pair,1,srv03,st08,5,13.193880907023225
per-pair,1,srv03,st08,6,12.713779318512763
per-pair,1,srv03,st08,7,13.220925068650333
per-pair,1,srv03,st08,8,15.342078617917116
per-pair,2,srv03,st08,1,12.51581154267158
per-pair,2,srv03,st08,2,14.971718654239556
per-pair,2,srv03,st08,3,12.889886058597805
per-pair,2,srv03,st08,4,12.937377182028289
per-pair,2,srv03,st08,5,15.959507807542058
per-pair,2,srv03,st08,6,13.416915196435514
per-pair,2,srv03,st08,7,12.905046518423358
per-pair,2,srv03,st08,8,12.706780908370426
per-pair,3,srv03,st08,1,12.98419482893399
per-pair,3,srv03,st08,2,15.346840964896794
per-pair,3,srv03,st08,3,14.724388341452212
per-pair,3,srv03,st08,4,14.71390272134786
per-pair,3,srv03,st08,5,14.663528054763201
per-pair,3,srv03,st08,6,13.951510759593951
per-pair,3,srv03,st08,7,14.104207602363573
per-pair,3,srv03,st08,8,14.52114207176286
app-outbound,1,srv01,st01,1,1.2143176447402357
