client,server,condition,repetition,n_pings,mean_ms,std_ms,min_ms,max_ms,p50_ms,p95_ms,p99_ms,mdev_ms,packet_loss
srv03,st02,100pct,2,500,0.05661599999999999,0.03491008410107155,0.029,0.244,0.045,0.14210000000000003,0.18902999999999998,0.034,0.0
srv03,st02,100pct,3,500,0.05462799999999999,0.030968624888020293,0.028,0.216,0.043,0.13010000000000002,0.172,0.03,0.0
srv03,st03,idle,1,500,0.058176,0.018398642452316323,0.029,0.27,0.055,0.088,0.10400999999999999,0.018,0.0
srv03,st03,idle,2,500,0.05687199999999999,0.01541710056982051,0.033,0.14,0.052,0.09005000000000002,0.10500999999999998,0.015,0.0
srv03,st03,idle,3,500,0.054835999999999996,0.012741970791022813,0.03,0.148,0.052,0.07905000000000001,0.09603999999999996,0.012,0.0
srv03,st03,50pct,1,500,0.049072,0.01631659518885954,0.03,0.255,0.046,0.069,0.09710999999999989,0.016,0.0
srv03,st03,50pct,2,500,0.04333999999999999,0.011979959886316628,0.028,0.124,0.041,0.06310000000000003,0.08903999999999995,0.012,0.0
srv03,st03,50pct,3,500,0.039431999999999995,0.009980209675670178,0.026,0.096,0.037,0.05705000000000001,0.07601,0.01,0.0
srv03,st03,100pct,1,500,0.062196,0.11049822305628809,0.026,2.1,0.047,0.11705000000000002,0.15801,0.11,0.0
srv03,st03,100pct,2,500,0.06508,0.06580944739726562,0.03,1.12,0.049,0.13905,0.20871999999999932,0.065,0.0
srv03,st03,100pct,3,500,0.067728,0.058033626628354686,0.029,0.891,0.052,0.1441,0.2522399999999998,0.057,0.0
srv03,st04,idle,1,500,0.04599799999999999,0.009765691653279548,0.028,0.103,0.045,0.066,0.07602999999999997,0.009,0.0
srv03,st04,idle,2,500,0.04490399999999999,0.008152527916103429,0.026,0.102,0.045,0.057,0.062019999999999985,0.008,0.0
srv03,st04,idle,3,500,0.050986,0.012831800895761159,0.029,0.132,0.049,0.075,0.09102999999999997,0.012,0.0
srv03,st04,50pct,1,500,0.05179799999999999,0.01763755546342664,0.029,0.164,0.047,0.084,0.11711999999999989,0.017,0.0
srv03,st04,50pct,2,500,0.045882,0.01626829403415008,0.027,0.237,0.043,0.07210000000000001,0.10204999999999995,0.016,0.0
srv03,st04,50pct,3,500,0.09252399999999998,0.0762351429331386,0.028,0.504,0.066,0.26405000000000006,0.3751899999999998,0.076,0.0
srv03,st04,100pct,1,500,0.050408,0.016570658086474347,0.029,0.134,0.0475,0.084,0.113,0.016,0.0
srv03,st04,100pct,2,500,0.048222,0.018523253976441383,0.029,0.183,0.043,0.08105000000000001,0.12308999999999991,0.018,0.0
srv03,st04,100pct,3,500,0.06128599999999999,0.05397230979353113,0.029,0.818,0.052,0.10515000000000002,0.2540699999999999,0.053,0.0
srv03,st05,idle,1,500,0.05518,0.014997113950814248,0.028,0.115,0.052,0.085,0.10002999999999998,0.015,0.0
srv03,st05,idle,2,500,0.054155999999999996,0.032873042723115115,0.03,0.686,0.051,0.075,0.0882199999999998,0.032,0.0
srv03,st05,idle,3,500,0.05703,0.04624346457643569,0.028,0.838,0.051,0.08605,0.10904999999999995,0.046,0.0
srv03,st05,50pct,1,500,0.04494,0.01545918409054925,0.026,0.134,0.04,0.07605000000000002,0.10502999999999996,0.015,0.0
srv03,st05,50pct,2,500,0.08836600000000001,0.06992526818154166,0.024,0.498,0.0645,0.22815000000000002,0.3600799999999999,0.069,0.0
srv03,st05,50pct,3,500,0.043343999999999994,0.015188384972608255,0.025,0.163,0.04,0.069,0.10816999999999985,0.015,0.0
srv03,st05,100pct,1,500,0.07545999999999999,0.12342247207549548,0.028,1.55,0.046,0.1883500000000001,0.4699199999999991,0.123,0.0
srv03,st05,100pct,2,500,0.056695999999999996,0.031844429959396,0.03,0.339,0.047,0.10410000000000003,0.182,0.031,0.0
srv03,st05,100pct,3,500,0.10044800000000001,0.20321526562827097,0.029,2.57,0.051,0.2803000000000001,1.1905999999999994,0.203,0.0
srv03,st06,idle,1,500,0.046126,0.008507813454675595,0.028,0.115,0.045,0.059,0.06901,0.008,0.0
srv03,st06,idle,2,500,0.047646,0.013609081460421672,0.023,0.247,0.046,0.06405000000000001,0.08100999999999998,0.013,0.0
srv03,st06,idle,3,500,0.04756199999999999,0.011056520668754578,0.026,0.104,0.045,0.07,0.08201,0.011,0.0
srv03,st06,50pct,1,500,0.05033999999999999,0.023578810840271035,0.026,0.235,0.044,0.09205,0.14203999999999997,0.023,0.0
srv03,st06,50pct,2,500,0.05142199999999999,0.012476828864620773,0.03,0.125,0.05,0.07310000000000001,0.09201,0.012,0.0
srv03,st06,50pct,3,500,0.05402,0.025571535089110843,0.03,0.323,0.047,0.09905000000000003,0.15202,0.025,0.0
srv03,st06,100pct,1,500,0.158252,0.3503101295562826,0.03,2.5,0.0535,0.9006500000000006,1.8821999999999979,0.349,0.0
srv03,st06,100pct,2,500,0.098496,0.0778274000104383,0.03,0.457,0.069,0.26715000000000005,0.4092099999999998,0.077,0.0
srv03,st06,100pct,3,500,0.058342,0.033309038113402197,0.029,0.309,0.048,0.12710000000000002,0.1872399999999998,0.033,0.0
